"Participant"	"Affiliation_institution_Brazilian_state"	"Area_of_study"	"Institution"	"Movement_ecology_group_in_institution"	"Works_with_movement"	"When_started_to_work_with_movement"	"Type_of_research"	"Taxon"	"Biome_standardized"	"Level_study"	"Components_mov_ecology_framework"	"Techonology_used"	"Challenges"
83	"SP"	"Ecology"	"UNICAMP"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
84	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/1/2008	"Applied"	"BIRDS/MAMMALS"	"Atlantic Forest"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"GPS Telemetry, VHF Telemetry, Accelerometer, Modeling"	"Financeiros, Tecnológicos, Análise de dados"
85	"SP"	"Geography"	"Fundação Floresta"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
86	"PR"	"Ecology/Physics"	"UFPR/Física"	"Yes"	"Yes"	1/1/2015	"Theoretical"	"SIMULATIONS"	"NA"	"Ecosystem"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"Modeling"	"Tecnológicos"
87	"SP"	"Ecology"	"autônomo"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
88	"SP"	"Zoology"	"Avifauna/casa da floresta"	"No"	"Yes"	6/10/2008	"Applied"	"BIRDS"	"Marine"	"Community"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?), Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?)"	"Mark Recapture"	"Burocráticos, Financeiros, Tecnológicos, Análise de dados"
89	"SP"	"Ecology"	"UNICAMP/Departamento de Biologia Animal"	"No"	"Yes"	1/3/2014		"INVERTEBRATES"	"Cerrado"	"Individual"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"Genetics"	"Análise de dados, desenho amostral"
90	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/8/2013			"Atlantic Forest"			"Modeling"	
91	"GO"	"Ecology"	"UFV/Programa de Pós-graduação em Ecologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
92	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/1/2015	"Applied"	"MAMMALS"	"Atlantic Forest"	"Individual"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?) / Navigation capacity (Do you wish to understand when organisms move and to where they go?)"	"GPS Telemetry"	"Tecnológicos"
